DEGREE PROGRAM,ABBREVIATION,DESCRIPTION,PROGRAM OUTCOMES
BA ASIAN STUDIES,ABAS,"AB Asian Studies explores the diverse cultures, histories, and politics of Asian countries. The program covers a wide range of topics including language, literature, religion, philosophy, and economic development, providing students with a comprehensive understanding of Asia's role in the global context.","Graduates can pursue careers as diplomats, international business consultants, cultural advisors, researchers, and educators. Opportunities also exist in non-governmental organizations (NGOs), international relations, and global trade."
BA CHRISTIAN EDUCATION,ABChrE,"AB Christian Education focuses on theological studies, biblical history, and the principles of Christian teaching. Students learn to integrate faith with education, preparing them to teach religious studies, lead youth groups, and manage church-related educational programs.","Graduates can become religious educators, youth ministers, pastoral assistants, church administrators, and community outreach coordinators. They may also work in faith-based schools and organizations."
BA COMPUTER SCIENCE,AB CSc,"AB Computer Science provides a solid foundation in programming, systems analysis, and software development. The curriculum covers algorithms, data structures, artificial intelligence, and cybersecurity, equipping students with technical and problem-solving skills.","Graduates can work as software developers, systems analysts, IT consultants, data scientists, and cybersecurity specialists. Careers are available in tech companies, financial institutions, and government agencies."
BA INTERNATIONAL STUDIES,ABIntS,"AB International Studies examines global issues, international relations, and foreign policy. The program includes studies in political science, economics, and cultural studies, preparing students for careers in a globalized world.","Career opportunities include diplomats, international business analysts, policy advisors, global development consultants, and humanitarian workers. Graduates can work for international organizations, government agencies, and multinational corporations."
BA SCIENCE,AB Sc,"AB Science offers a multidisciplinary approach to scientific education, covering subjects like biology, chemistry, physics, and earth sciences. The program aims to develop critical thinking and research skills across various scientific fields.","Graduates can work as researchers, laboratory technicians, science educators, and technical writers. Careers are available in healthcare, environmental science, technology, and academic research."
BA ANTHROPOLOGY,BAAnth,"BA Anthropology studies human societies, cultures, and their development. The program covers cultural anthropology, archaeology, biological anthropology, and linguistic anthropology, providing a comprehensive understanding of human diversity.","Career opportunities include cultural resource managers, museum curators, research analysts, and forensic anthropologists. Graduates can work in academic institutions, museums, government agencies, and international organizations."
BA APPLIED ARTS,BAA ,"BA in Applied Arts (BAA) program blends artistic creativity with practical application across various disciplines such as design, illustration, and craft. Students explore the intersection of art and function, learning to conceptualize and produce works that serve practical purposes while also embodying aesthetic qualities. Through hands-on projects and interdisciplinary collaboration, students develop the skills and versatility needed to thrive in diverse applied arts fields.","Graduates of the BAA program have diverse career opportunities in the applied arts industry. They can work as graphic designers, creating visual identities, packaging, and promotional materials for businesses and brands. Other potential roles include illustrators, product designers, textile artists, and jewelry designers, producing unique and functional artworks for commercial or personal use. Graduates may find employment in design firms, advertising agencies, publishing houses, manufacturing companies, or as independent artists and artisans. Additionally, some may pursue further specialization or advanced studies in specific applied arts fields such as industrial design, fashion design, or visual communication design."
BA ARALING PILIPINO,BA AP,"BA Araling Pilipino (BA AP) program focuses on the study of Filipino culture, language, literature, history, and society. Students explore various aspects of Philippine identity and heritage, analyzing texts, artifacts, and cultural practices within their historical and social contexts. The curriculum emphasizes critical thinking, cultural appreciation, and language proficiency in Filipino.","Graduates of the BA Araling Pilipino program can pursue careers in education as Filipino language teachers, cultural educators, or curriculum developers. They may also find opportunities in research, publishing, journalism, or cultural advocacy organizations. Additionally, BA AP graduates may work in government agencies, non-profit organizations, or international institutions requiring expertise in Philippine culture, language, and heritage."
BA ART STUDIES,BAS,"The BA in Art Studies (BAS) program offers an interdisciplinary approach to understanding art and its role in society. The curriculum integrates history, theory, and practice, allowing students to explore a wide range of artistic expressions from different cultures and periods. Emphasis is placed on critical thinking, analytical skills, and the ability to contextualize art within broader social, political, and cultural frameworks. The program encourages hands-on experience through studio work, internships, and research projects.","Graduates of the BA in Art Studies (BAS) program have a diverse array of career opportunities. They can pursue roles in museums and galleries as curators, exhibition coordinators, or art handlers, where they manage collections and organize exhibitions. In the education sector, they can become art teachers, lecturers, or educators in cultural institutions. Opportunities also exist in art criticism and journalism, where they can work as art critics or writers, contributing to publications and media outlets. Additionally, graduates can find positions in cultural management and arts administration, including roles such as program directors, arts consultants, or heritage managers, where they oversee and promote cultural projects and events. The program also provides a strong foundation for further academic pursuits in art history, art theory, or related fields."
BA BROADCAST COMMUNICATION,BABrCo,"BA Broadcast Communication focuses on the production, distribution, and analysis of media content across television, radio, and digital platforms. The program covers media production, broadcast journalism, and media management, preparing students for dynamic roles in broadcasting.","Graduates can become broadcast journalists, producers, news anchors, media planners, and digital content creators. Careers are available in television networks, radio stations, online media, and production companies."
