UNIVERSITIES,SCHOOL TYPE,ENTRANCE EXAM,DEGREE PROGRAMS,LOCATION,WEBSITE LINK
University of the Philippines Diliman,Public,Required,"BA ANTHROPOLOGY, BA ARALING PILIPINO, BA ART STUDIES, BA COMMUNICATION RESEARCH, BA COMPARATIVE LITERATURE, BA CREATIVE WRITING, BA ECONOMICS, BA ENGLISH STUDIES, BA EUROPEAN LANGUAGES, BA FILM, BA GEOGRAPHY, BA HISTORY, BA JOURNALISM, BA LINGUISTICS, BA MALAYAN STUDIES, BA PHILOSOPHY, BA PHILIPPINE ARTS, BA POLITICAL SCIENCE, BA PSYCHOLOGY, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BA SPEECH COMMUNICATION, BS ARCHITECTURE, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS FOOD TECHNOLOGY, BS GEODETIC ENGINEERING, BS GEOGRAPHY, BS GEOLOGY, BS HOME ECONOMICS, BS INDUSTRIAL ENGINEERING, BS INDUSTRIAL PHARMACY, BS INTERIOR DESIGN, BS LIBRARY AND INFORMATION SCIENCE, BS MATERIALS ENGINEERING, BS MATHEMATICS, BS MECHANICAL ENGINEERING, BS METALLURGICAL ENGINEERING, BS MINING ENGINEERING, BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY, BS NURSING, BS PHARMACY, BS PHILIPPINE ARTS, BS PHYSICS, BS PSYCHOLOGY, BS PUBLIC HEALTH, BS SOCIAL WORK, BS SPORTS SCIENCE, BS STATISTICS, BACHELOR OF FINE ARTS, BS APPLIED PSYCHOLOGY, BS APPLIED PHYSICS, BA BROADCAST COMMUNICATION, BS BUSINESS ADMINISTRATION, BS BUSINESS ECONOMICS, BS BUSINESS MANAGEMENT, BS BUSINESS ADMINISTRATION AND ACCOUNTANCY, BS CHEMISTRY, BS CLOTHING TECHNOLOGY, BS COMMUNITY NUTRITION, BS COMPUTER ENGINEERING, BACHELOR OF ELEMENTARY EDUCATION, BACHELOR OF SECONDARY EDUCATION, BA ENGLISH STUDIES, BA EUROPEAN LANGUAGES, BA FILIPINO, BA FILM, BS HOTEL, RESTAURANT AND INSTITUTIONAL MANAGEMENT, BA INDUSTRIAL DESIGN, BS LANDSCAPE ARCHITECTURE, BA LINGUISTICS, BA LIBRARY AND INFORMATION STUDIES, BA MUSIC, BACHELOR OF PHYSICAL EDUCATION, BS POLITICAL SCIENCE, BA SPEECH COMMUNICATION, BS STATISTICS, BS APPLIED MATHEMATICS, BA THEATER ARTS, BS TOURISM, BA SCULPTURE, BS CHEMICAL ENGINEERING",Quezon City,https://upd.edu.ph/
Polytechnic University of the Philippines Manila,Public,Required,"BA FILIPINO, BA ENGLISH, BA BROADCAST COMMUNICATION, BA JOURNALISM, BA FILM AND AUDIO VISUAL COMMUNICATION, BA HISTORY, BA PHILOSOPHY, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BACHELOR IN ADVERTISING AND PUBLIC RELATIONS, BACHELOR IN OFFICE ADMINISTRATION, BACHELOR OF BUSINESS TEACHER EDUCATION, BA MULTIMEDIA ARTS, BS ACCOUNTANCY, BS BANKING AND FINANCE, BS BUSINESS ADMINISTRATION, BS COOPERATIVE, BS ENTREPRENEURSHIP, BS HOSPITALITY MANAGEMENT, BS HOTEL AND RESTAURANT MANAGEMENT, BS MANAGEMENT, BS OFFICE ADMINISTRATION, BS TOURISM MANAGEMENT, BS ARCHITECTURE, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS COMPUTER SCIENCE, BS INFORMATION TECHNOLOGY, BS MATHEMATICS, BS IN BIOLOGY, BS CHEMISTRY, BS ENVIRONMENTAL SCIENCE, BS PSYCHOLOGY, BS STATISTICS, BS NUTRITION AND DIETETICS, BACHELOR IN PHYSICAL EDUCATION, BS SPORTS SCIENCE",City of Manila,https://www.pup.edu.ph/
Pamantasan ng Lungsod ng Maynila,Public,Required,"BA FILIPINO, BA ENGLISH, BA BROADCAST COMMUNICATION, BA JOURNALISM, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS ARCHITECTURE, BS CRIMINOLOGY, BS NURSING, BS PHYSICAL THERAPY, BS PSYCHOLOGY, BS SOCIAL WORK, BS MATHEMATICS, BS STATISTICS, BS BIOLOGY, BS CHEMISTRY, BS ENVIRONMENTAL SCIENCE, BS CHEMICAL ENGINEERING",City of Manila,https://www.plm.edu.ph/
Eulogio Amang Rodriguez Institute of Science and Technology,Public,Required,"BA FILIPINO, BA ENGLISH, BA COMMUNICATION, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS ACCOUNTING TECHNOLOGY, BS APPLIED MATHEMATICS, BS ARCHITECTURE, BS BIOLOGY, BS BUSINESS ADMINISTRATION, BS CHEMICAL ENGINEERING, BS CIVIL ENGINEERING, BS COMPUTER ENGINEERING, BS COMPUTER SCIENCE, BS CRIMINOLOGY, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS HOTEL AND RESTAURANT MANAGEMENT, BS INDUSTRIAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS MANAGEMENT, BS MARINE ENGINEERING, BS MARKETING MANAGEMENT, BS MECHANICAL ENGINEERING, BS NURSING, BS OFFICE ADMINISTRATION, BS PHARMACY, BS PHYSICAL EDUCATION, BS PHYSICAL THERAPY, BS PSYCHOLOGY, BS PUBLIC ADMINISTRATION, BS SECONDARY EDUCATION, BS SOCIAL WORK, BS TOURISM MANAGEMENT",City of Manila,https://earist.edu.ph/
University of Makati,Public,Required,"BA FILIPINO, BA ENGLISH, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT, BS PSYCHOLOGY, BS ENTREPRENEURSHIP",City of Makati,https://www.umak.edu.ph/
Rizal Technological University,Public,Required,"BA COMMUNICATION ARTS, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS ARCHITECTURE, BS CRIMINOLOGY, BS NURSING, BS PSYCHOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT",City of Mandaluyong,https://www.rtu.edu.ph/
Technological University of the Phiippines - Manila,Public,Required,"BA COMMUNICATION ARTS, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS ARCHITECTURE, BS CRIMINOLOGY, BS NURSING, BS PSYCHOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION, BS HOTEL AND RESTAURANT MANAGEMENT, BS TOURISM MANAGEMENT",City of Manila,https://tup.edu.ph/
University of Caloocan City,Public,Required,"BA COMMUNICATION ARTS, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS NURSING, BS PSYCHOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Caloocan,https://ucc-caloocan.edu.ph/
Taguig City University,Public,Required,"BA COMMUNICATION ARTS, BA POLITICAL SCIENCE, BA PUBLIC ADMINISTRATION, BA SOCIOLOGY, BS ACCOUNTANCY, BS BUSINESS ADMINISTRATION, BS COMPUTER SCIENCE, BS CIVIL ENGINEERING, BS ELECTRICAL ENGINEERING, BS ELECTRONICS ENGINEERING, BS INDUSTRIAL ENGINEERING, BS MECHANICAL ENGINEERING, BS INFORMATION TECHNOLOGY, BS CRIMINOLOGY, BS NURSING, BS PSYCHOLOGY, BS SECONDARY EDUCATION, BS ELEMENTARY EDUCATION",City of Taguig,https://tcu.edu.ph/
University of the Philippines Manila,Public,Required,"BS NURSING, BS PUBLIC HEALTH, BS PHARMACY, BS PHYSICAL THERAPY, BS OCCUPATIONAL THERAPY, BS SPEECH PATHOLOGY, BS MEDICAL TECHNOLOGY, BS BIOLOGY, BS BIOCHEMISTRY, BS MOLECULAR BIOLOGY AND BIOTECHNOLOGY, BS NUTRITION, BS ENVIRONMENTAL SCIENCE, BS COMMUNITY DEVELOPMENT, BS PUBLIC ADMINISTRATION, BS BEHAVIORAL SCIENCES, BA BEHAVIORAL SCIENCES, BA SOCIAL SCIENCES, BA COMMUNICATION ARTS, BA ORGANIZATIONAL COMMUNICATION, BA POLITICAL SCIENCE, BA PHILOSOPHY, BA HISTORY, BA PSYCHOLOGY, BS TOURISM, BS HOTEL, RESTAURANT AND INSTITUTION MANAGEMENT, BS MANAGEMENT, BS COMMUNITY NUTRITION, BS RADIOLOGIC TECHNOLOGY",City of Manila,https://www.upm.edu.ph/
